,e,N2,N,N2+,N+,T_e,T_mono,T_diato,target_pressure
0,6.3401966687835464e+16,7.858272492948858e+18,6.130771806504918e+18,4.533333454468517e+16,1.806863214961751e+16,9.408175177309552,0.031592023491301226,0.03177265429643793,0.066661185
1,7.389805665605291e+16,1.014857674297824e+19,8.726362882488904e+18,5.0968227146117496e+16,2.292982950011174e+16,8.0669893782432,0.03187653048345593,0.03276085135675106,0.09332565899999999
2,8.384355406043418e+16,1.3560478849399714e+19,1.2283259037008482e+19,5.635956664679761e+16,2.748398739757669e+16,6.956420067272179,0.03218886342181518,0.03436026176762215,0.13332237
3,9.58084166587159e+16,2.512157786697911e+19,2.133633203258783e+19,6.446053441771632e+16,3.1347882269180124e+16,5.42086007085724,0.03271169079699858,0.03973704569088775,0.26664474
4,9.522309420512387e+16,4.820383916185687e+19,3.120979033816883e+19,6.8271778890041784e+16,2.695131523084772e+16,4.425801692971113,0.032889661383883106,0.04850758967492682,0.53328948
5,8.62844378759635e+16,9.040008279544037e+19,3.879660022487544e+19,6.754015868398709e+16,1.8744279187214784e+16,3.7552812021677187,0.03266442789544529,0.060095426317728316,1.06657896
6,7.439588911135238e+16,1.6249711359019254e+20,4.263852426926183e+19,6.308674814498547e+16,1.1309140971438992e+16,3.268354076521696,0.03219929061207559,0.07381312531152609,2.13315792
7,6.293260072584427e+16,2.6966461748526888e+20,4.300658475797449e+19,5.647582292049019e+16,6456777840723607.0,2.9180084948951848,0.031703680446902596,0.0877690695204004,3.9996711
8,5.3457678856119784e+16,4.043277138576014e+20,4.155421530485598e+19,4.965456709445545e+16,3803111729699229.0,2.6745432876855224,0.03130724128262522,0.09989531885389222,6.6661185
9,4.47614297443283e+16,5.880309294920466e+20,3.920929538861504e+19,4.2569156832962024e+16,2192272859806257.2,2.474675454817495,0.030975883633280712,0.11132516077000543,10.6657896
10,4.070219730717369e+16,7.039549862510521e+20,3.785385805759599e+19,3.905256645056626e+16,1649630814212026.8,2.386584803609345,0.03083494146235315,0.11672015681114355,13.332237
11,3.8993035396246856e+16,7.606247159204822e+20,3.723912504996031e+19,3.7538843123093064e+16,1454192241593405.8,2.3501764518349595,0.030778428196536502,0.11900007675489808,14.665460699999999
